sourcedId,orgSourcedIds,role,username,givenName,familyName,grade,password
st1,sch1,student,anthonymonroe1,Anthony,Monroe,11,^g0YGcPzI!
st2,sch1,student,randyshannon2,Randy,Shannon,11,z_mFJCje*6
st3,sch1,student,robertvargas3,Robert,Vargas,11,qOR2zJTw%*
st4,sch1,student,jennifermolina4,Jennifer,Molina,9,lCBlPjyG!8
st5,sch1,student,kimwilliams5,Kim,Williams,11,B+4S49cKCJ
st6,sch1,student,anthonyramirez6,Anthony,Ramirez,12,Iy6Y4Vu)$!
st7,sch1,student,mitchellmartin7,Mitchell,Martin,10,^0*MzzQE70
st8,sch1,student,joshuadorsey8,Joshua,Dorsey,9,QBHQ5mjx)2
st9,sch1,student,pamelawest9,Pamela,West,12,6+6oC7Mnsq
st10,sch1,student,savannaholson10,Savannah,Olson,10,#iDbsMqh93
t1,sch1,teacher,shannonreid11,Shannon,Reid,iQF9)Qrmp^
t2,sch1,teacher,morganali11,Morgan,Ali,+5MENc+tvi
